Date/Time Start,2019-02-19 19:10:36.966907
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,9.0,802,1.0,802,0.008749482272778686,0.0,802
1,9.0,1564,1.0,1564,0.007965520173676369,0.0,1564
2,11.0,2409,1.0,2409,0.008648255574255189,0.0,2409
3,10.0,3205,1.0,3205,0.00936460013239887,0.0,3205
4,5.0,3588,1.0,3588,0.008721594132057314,0.0,3588
5,4.0,3988,1.0,3988,0.008389290082777733,0.0,3988
6,12.0,4827,1.0,4827,0.00895299351701067,0.0,4827
7,3.0,5210,1.0,5210,0.009565436543692232,0.0,5210
8,10.0,5987,1.0,5987,0.008729035129428733,0.0,5987
9,6.0,6628,1.0,6628,0.009374796993236454,0.0,6628
10,6.0,7274,1.0,7274,0.009352827581474103,0.0,7274
